n_zi,n_informed,ip_high,wealth_premium_pct,no_clear_rate,mean_volume,kurtosis,autocorr_1,premium_ok,ncr_ok,kurtosis_ok,autocorr_ok,VALID,BASELINE
35,65,0.5,44.08,0.0,0.5834,25.88,0.0654,True,True,True,True,True,False
35,65,0.75,40.57,0.0,0.5885,27.04,0.0199,True,True,True,True,True,False
35,65,1.0,35.4,0.0,0.6387,26.82,0.0492,True,True,True,True,True,False
35,65,1.5,42.64,0.0,0.6838,27.42,0.0127,True,True,True,True,True,False
35,65,2.0,37.73,0.0,0.7533,27.67,0.0442,True,True,True,True,True,False
50,50,0.5,49.43,0.0,0.667,26.09,0.0188,True,True,True,True,True,False
50,50,0.75,46.13,0.0,0.802,27.09,0.0267,True,True,True,True,True,False
50,50,1.0,47.97,0.0,0.6676,26.18,0.019,True,True,True,True,True,False
50,50,1.5,46.46,0.0,0.5985,24.6,0.014,True,True,False,True,False,False
50,50,2.0,42.94,0.0,0.6828,24.72,0.0294,True,True,False,True,False,False
65,35,0.5,52.7,0.0,0.8057,25.52,0.0129,True,True,True,True,True,False
65,35,0.75,50.83,0.0,0.8175,24.92,0.0217,True,True,False,True,False,False
65,35,1.0,36.03,0.0,0.9129,25.69,0.0066,True,True,True,True,True,False
65,35,1.5,43.96,0.0,0.8038,25.85,0.0201,True,True,True,True,True,False
65,35,2.0,47.41,0.0,0.7731,25.23,-0.0043,True,True,True,True,True,True
80,20,0.5,63.32,0.0,0.8118,23.81,-0.0093,True,True,False,True,False,False
80,20,0.75,53.62,0.0,0.8232,24.01,-0.0005,True,True,False,True,False,False
80,20,1.0,51.15,0.0,0.8253,24.11,0.0139,True,True,False,True,False,False
80,20,1.5,54.99,0.0,0.8047,23.97,0.0267,True,True,False,True,False,False
80,20,2.0,52.14,0.0,0.8167,22.96,0.0064,True,True,False,True,False,False
