n_zi,n_informed,ip_high,wealth_premium_pct,no_clear_rate,mean_volume,premium_ok,ncr_ok,VALID,BASELINE
35,65,0.5,44.02,0.0,0.6292,True,True,True,False
35,65,0.75,43.71,0.0,0.5638,True,True,True,False
35,65,1.0,48.03,0.0,0.5821,True,True,True,False
35,65,1.5,45.16,0.0,0.5614,True,True,True,False
50,50,0.5,54.35,0.0,0.6767,True,True,True,False
50,50,0.75,48.15,0.0,0.7148,True,True,True,False
50,50,1.0,53.58,0.0,0.6545,True,True,True,False
50,50,1.5,47.96,0.0,0.7013,True,True,True,False
65,35,0.5,51.81,0.0,0.834,True,True,True,False
65,35,0.75,40.88,0.0,0.8216,True,True,True,False
65,35,1.0,43.37,0.0,0.9165,True,True,True,True
65,35,1.5,42.61,0.0,0.7888,True,True,True,False
80,20,0.5,52.87,0.0,0.8071,True,True,True,False
80,20,0.75,53.63,0.0,0.7996,True,True,True,False
80,20,1.0,55.9,0.0,0.8195,True,True,True,False
80,20,1.5,58.24,0.0,0.8218,True,True,True,False
